ítem,Descripción,Unidad,RCMI 110 10,RCMI 110 10 CS,RCMI 110 10 CD,RCMI 110 20,RCMI 110 20 CS,RCMI 110 20 CD,RCMI 110 30,RCMI 110 30 CS,RCMI 110 30 CD,RCMI 48 10,RCMI 48 10 CS,RCMI 48 10 CD,RCMI 48 20,RCMI 48 20 CS,RCMI 48 20 CD,RCMI 48 30,RCMI 48 30 CS,RCMI 48 30 CD,RCMI 24 10,RCMI 24 10 CS,RCMI 24 10 CD,RCMI 24 20,RCMI 24 20 CS,RCMI 24 20 CD,RCMI 24 30,RCMI 24 30 CS,RCMI 24 30 CD
8.1,-Sobretensiones en CC / CA,-,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida,Protector sobretensión entrada / varistores salida
8.2,-Cortocircuito,-,Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas),Fusibles cerámicos (transformador) / Interruptores TM (salidas)
8.3,-Sobrecarga,-,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable,Limitación de corriente programable
8.4,-LVD,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Alarmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1,Falla de Red,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.2,Alta Tensión en baterías,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.3,Baja Tensión en baterías,-,Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD)
9.4,Tensión en baterías Crítica (Batería descargada),-,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable
9.5,Alta Tensión en consumos,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.6,Baja Tensión en consumos,-,Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD)
9.7,Tensión en consumo Crítica,-,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable
9.8,Falla de rectificador,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.9,Alta corriente de rectificador,-,Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD)
9.10,Alta corriente de baterías,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.11,Alta corriente de consumos,-,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable,Configurable
9.12,Polo positivo a tierra,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.13,Polo negativo a tierra,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
9.14,Fallo de un ventilador (si corresponde),-,N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural),N/A (ventilación natural)
9.15,Obstrucción en los filtros (si corresponde),-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9.16,Batería en descarga,-,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa,Por detección de corriente inversa
9.17,Avería en la red de salida (falla aislación),-,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra,Polo a tierra
9.18,Apertura de interruptores,-,Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional),Por contactos auxiliares (opcional)
9.19,Fallo en batería (si hay sistema de supervisión),-,No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional),No incluido (opcional)
9.20,Temperatura (termostato),-,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional,Opcional
9.21,Cargador en modo fondo,-,Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco),Sí (LCD + contacto seco)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Señalizaciones:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1,Presencia de tensión alterna en todas las redes (Red Ok),-,Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal),Sí (LED frontal)
10.2,Batería en modo carga de flotación,-,Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE),Sí (LED FLOTE)
10.3,Batería en modo carga rápida,-,Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO),Sí (LED FONDO)
10.4,Batería en modo carga excepcional,-,Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD),Sí (LCD)
10.5,Funcionamiento de los ventiladores (si aplica),-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10.6,Carga por la red alternativa,-,N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única),N/A (entrada única)
10.7,Falla,-,Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA),Sí (LED ALARMA)
